QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
1-1268,53.179139338357636,3.3226398328884006,18.785549098610247,-123.73137412237286,-99.78601859691764,0
1-13,46.6720186298176,3.440606170766034,21.418141053910727,-126.1065224824618,-97.85882263093718,1
1-486,45.76615528624727,3.2129902186937853,22.008875988244775,-125.7641059383985,-98.374432431572,0
1-184,44.767868085089404,4.077870594797478,24.32342621585738,-124.91436070236816,-97.29575378070099,1
1-51,44.57610106958167,3.360006399601776,16.098834118514862,-125.00509480346776,-101.24020152570509,1
1-792,43.226933833207156,2.8214517322549453,12.953757222149282,-124.53688137887019,-102.99936753319182,0
1-1144,40.27505564104089,2.8645573401449873,12.183244743239705,-125.25674361250155,-103.9943218063761,0
1-12,34.153532270306215,3.4760008443772668,17.948463939876753,-125.70469745406923,-99.68861381572178,1
1-14,30.650056483851348,3.035193301145182,13.820735497717912,-124.4847764358133,-103.30893805182895,1
1-686,27.492134915379204,2.1574389108180787,8.09221924032687,-128.03152573028927,-105.53177335523961,0
1-588,26.03752359937651,2.976533049775602,10.641907315245748,-125.36917259049511,-104.34928081790473,0
1-685,24.415123328210615,0.0,9.713599032887794,0.0,-104.43547811032326,0
1-1147,23.820489749291617,2.608941020764337,7.972989367038721,-125.2590369141623,-105.6655752845086,0
1-100,23.743242558496032,2.195131437831623,0.0,-127.85133463145377,0.0,0
1-1169,22.74034149498105,2.3794790666003616,9.047025014177063,-128.3021452947503,-105.1507495893588,0
1-25,22.572299854412105,0.0,8.90326461547721,-128.03286994082563,-105.2960224902061,0
1-576,22.383269207821787,2.658793830797557,9.253046936658379,-125.3135280235551,-105.46599635137692,0
1-435,21.565246673236963,2.5409616338518974,10.765633603656653,-127.40354021003961,-104.45988738504315,0
1-746,21.131397778753758,2.553793772453644,12.796600628683915,-128.08868443581352,-102.90798884805241,0
1-156,20.73331508410329,2.1189412891561634,0.0,-127.8018851029503,0.0,0
1-252,20.357094758158475,2.2010924733751285,9.093961671312726,-127.85669914944714,-105.47332050579529,0
1-172,19.75115221308386,2.844425804287291,11.97495168130138,-126.53403314182083,-103.91073849632397,0
1-914,19.421822186263608,2.54304999121834,10.177266510393931,-127.66818504388843,-104.5713265803444,0
1-253,19.341605940033492,2.104907605341947,0.0,-128.5215586004784,0.0,0
1-315,18.749850765459403,0.0,0.0,-127.54442646788344,0.0,0
1-747,18.334293407710565,2.901458229442657,11.928443361295566,-127.13468724853718,-103.53056677538417,0
1-114,17.95760351596569,2.114859104769752,0.0,-128.18001199499693,0.0,0
1-244,17.77659479263158,2.2953178850726093,0.0,-126.24458759637697,0.0,0
1-540,17.6723787616048,2.402488532043484,9.404607404510804,-127.80064573476409,-105.222360050674,0
1-56,17.44662004019613,0.0,0.0,-128.59697695887402,0.0,1
1-57,17.421557356781047,0.0,0.0,0.0,0.0,1
1-1313,17.398124731264495,0.0,6.884575405526515,-126.26799217240942,0.0,0
1-329,17.353325246312217,0.0,7.078206567384646,-127.51510334355132,0.0,0
1-262,16.960530349022353,2.1195288794781675,0.0,-127.01695049532121,-105.70665639049152,0
1-1168,16.73543875930214,0.0,7.372521427017616,0.0,-105.73050696871996,0
1-327,16.66819099622171,0.0,0.0,0.0,-105.81155770835397,0
